timestamp,timestamp,c,h,l,o
2017-03-01,2017-03-01T23:00:00Z,17.758000000000006,17.758000000000006,16.97,16.97
2017-03-02,2017-03-02T23:00:00Z,19.208,19.246,19.144,19.144
2017-03-03,2017-03-03T23:00:00Z,19.610000000000007,20.04,19.610000000000007,20.04
2017-03-04,2017-03-04T23:00:00Z,18.702,18.9,18.66,18.834
2017-03-05,2017-03-05T23:00:00Z,19.2,19.2,19.15,19.152
2017-03-06,2017-03-06T23:00:00Z,19.97,20.034,19.958,20.034
2017-03-07,2017-03-07T23:00:00Z,18.95,19.17,18.95,18.992
2017-03-08,2017-03-08T23:00:00Z,16.58,17.062,16.5,16.990000000000002
2017-03-09,2017-03-09T23:00:00Z,18.0,18.254,18.0,18.254
2017-03-10,2017-03-10T23:00:00Z,19.1,19.43,18.674,19.07
2017-03-11,2017-03-11T23:00:00Z,21.512000000000004,21.53,21.01,21.01
2017-03-12,2017-03-12T23:00:00Z,23.6,24.0,23.52,24.0
2017-03-13,2017-03-13T23:00:00Z,28.846000000000004,29.716,28.76,29.29
2017-03-14,2017-03-14T23:00:00Z,28.99,29.932,28.564,28.88000000000001
2017-03-15,2017-03-15T23:00:00Z,34.996,34.996,34.438,34.438
2017-03-16,2017-03-16T23:00:00Z,45.488,45.898,45.036,45.898
2017-03-17,2017-03-17T23:00:00Z,44.468,44.724,44.036,44.49800000000001
2017-03-18,2017-03-18T23:00:00Z,33.326,33.326,31.314,32.042
2017-03-19,2017-03-19T23:00:00Z,42.31,45.002,42.16799999999999,44.322
2017-03-20,2017-03-20T23:00:00Z,41.91,42.83,40.84200000000001,42.83
2017-03-21,2017-03-21T23:00:00Z,42.5,42.62,42.2,42.62
2017-03-22,2017-03-22T23:00:00Z,41.424,41.5,40.9,40.9
2017-03-23,2017-03-23T23:00:00Z,43.14,43.55,43.054,43.44
2017-03-24,2017-03-24T23:00:00Z,52.83,52.992,50.182,50.536
2017-03-25,2017-03-25T23:00:00Z,50.32,50.32,49.74800000000001,50.0
2017-03-26,2017-03-26T23:00:00Z,50.39,50.822,50.07,50.822
2017-03-27,2017-03-27T23:00:00Z,48.794,49.08,48.374,49.08
2017-03-28,2017-03-28T23:00:00Z,50.26800000000001,50.4,50.26,50.372
2017-03-29,2017-03-29T23:00:00Z,53.252,53.29,53.01000000000001,53.02
2017-03-30,2017-03-30T23:00:00Z,51.93000000000001,52.604000000000006,51.93000000000001,52.214
2017-03-31,2017-03-31T23:00:00Z,49.07,49.07,49.07,49.07
2017-04-01,2017-04-01T23:00:00Z,50.92,50.978,50.494,50.494
2017-04-02,2017-04-02T23:00:00Z,48.598,48.85,48.462,48.782
2017-04-03,2017-04-03T23:00:00Z,43.994,44.682,43.042,43.056
2017-04-04,2017-04-04T23:00:00Z,44.726000000000006,44.726000000000006,43.374,43.374
2017-04-05,2017-04-05T23:00:00Z,45.478,45.688,45.412,45.54
2017-04-06,2017-04-06T23:00:00Z,43.51199999999999,43.51199999999999,43.1,43.272
2017-04-07,2017-04-07T23:00:00Z,42.42,42.774,42.42,42.774
2017-04-08,2017-04-08T23:00:00Z,44.85,44.88,44.85,44.88
2017-04-09,2017-04-09T23:00:00Z,43.87,43.87,43.81,43.81
2017-04-10,2017-04-10T23:00:00Z,43.92,44.122,43.92,44.122
2017-04-11,2017-04-11T23:00:00Z,43.876000000000005,43.912,43.854,43.912
2017-04-12,2017-04-12T23:00:00Z,46.54,46.854,46.538,46.854
2017-04-13,2017-04-13T23:00:00Z,50.242,50.412000000000006,49.63,49.648
2017-04-14,2017-04-14T23:00:00Z,47.5,47.5,47.404,47.5
2017-04-15,2017-04-15T23:00:00Z,48.602,48.81,48.338,48.338
2017-04-16,2017-04-16T23:00:00Z,48.29,48.29,47.994,48.01000000000001
2017-04-17,2017-04-17T23:00:00Z,48.224,48.28,48.158,48.158
2017-04-18,2017-04-18T23:00:00Z,49.98,49.99,49.95,49.99
2017-04-19,2017-04-19T23:00:00Z,47.956,49.57,47.956,49.57
2017-04-20,2017-04-20T23:00:00Z,49.61,49.666,49.276,49.42
2017-04-21,2017-04-21T23:00:00Z,48.47,48.87,48.28,48.824
2017-04-22,2017-04-22T23:00:00Z,48.654,48.71,48.62,48.62
2017-04-23,2017-04-23T23:00:00Z,48.79,48.79,48.74,48.78
2017-04-24,2017-04-24T23:00:00Z,50.502,50.958,50.472,50.472
2017-04-25,2017-04-25T23:00:00Z,50.414,50.6,50.41,50.6
2017-04-26,2017-04-26T23:00:00Z,53.55,54.036,53.5,53.51800000000001
2017-04-27,2017-04-27T23:00:00Z,63.386,63.788,62.74400000000001,62.87000000000001
2017-04-28,2017-04-28T23:00:00Z,72.77199999999999,73.828,70.99,70.99
2017-04-29,2017-04-29T23:00:00Z,70.28799999999998,71.12,70.28799999999998,70.78
2017-04-30,2017-04-30T23:00:00Z,79.69399999999997,79.732,77.79,77.79
2017-05-01,2017-05-01T23:00:00Z,77.33,77.51,76.87,77.51
2017-05-02,2017-05-02T23:00:00Z,77.7,77.93,77.176,77.93
2017-05-03,2017-05-03T23:00:00Z,80.0,80.0,79.96,79.96
2017-05-04,2017-05-04T23:00:00Z,94.752,95.734,93.692,94.36
2017-05-05,2017-05-05T23:00:00Z,91.552,92.984,90.976,92.984
2017-05-06,2017-05-06T23:00:00Z,95.91599999999998,96.02,94.95,95.19
2017-05-07,2017-05-07T23:00:00Z,92.532,92.742,89.27600000000001,91.242
2017-05-08,2017-05-08T23:00:00Z,89.46799999999999,90.6,89.46799999999999,90.6
2017-05-09,2017-05-09T23:00:00Z,87.436,87.96200000000002,85.86,87.96200000000002
